,product_id,product_name,category_id,no_orders
1042,72741,,,2
1041,63741,"Numbered Ear Tag (For Cattle, Pigs, and Goats) - Livestock Identification",880.0,2
1040,16574,"Ear Tag Applicator for Livestock - Cattle, Pig, Goat, Sheep",8864.0,3
1039,25552,L-Lysine Sulphate - Feed Additive (25kg),2703.0,1
1038,19577,Automatic Injector/Continuous Syringe for Poultry,880.0,3
1037,22674,Live Bird Transport Crate (With Lid),880.0,1
1036,46995,Digital Temperature and Humidity Meter (with Clock) - HTC 1 Brand,880.0,4
1035,14989,Quality Point-of-Lay Hens (ISA Brown | High Potentials) - Promo,4019.0,5
1034,16534,A Simple Guide on Raising Broilers for Household and Commercial Purposes,2630.0,7
1033,59194,Cassava Stem Cuttings (30 Stems/Bundle),5140.0,5
1032,34349,Neem Cake (Organic Manure),4747.0,2
1031,73293,,,5
1030,73310,,,2
1029,73320,,,2
1028,73333,,,1
1027,23517,Embazin-Forte Anticoccidial With Vitamin K (30g),2703.0,3
1026,21196,KEPCOX 2.5% Oral Anticcocidial (Toltrazuril),2859.0,2
1025,55963,Tylodoxycare Antibiotic {100g},2840.0,2
1024,59351,Offtake Valve for Drip Irrigation Systems (PVC Material | 50 Pieces/ Pack),880.0,1
1023,72986,,,6
1022,20194,"Vitamin A, D3, E (1 Liter)",2703.0,2
1021,73569,,,1
1020,65631,Doxy-Gen Antibiotic For Livestock (100g),2703.0,1
1019,68240,Portable Electronic Scale | HS-A09L | Max 50kg,880.0,1
1018,72310,,,2
1017,73581,,,1
1016,72993,,,1
1015,70617,,,1
1014,19633,Automatic Poultry Beak Trimming Machine,880.0,4
1013,73741,,,1
1012,73211,,,1
1011,63793,Digital Hanging Scale (300kg Capacity | Dawood Brand),880.0,1
1010,67590,Boostract (Bio-Stimulant Seaweed Extract | 200mL),5134.0,2
1009,28989,Royatrazine Selective and Systemic Herbicide Powder (80% WP Atrazine),2856.0,2
1008,66185,Eggplant African Kibibi | 500 Seeds,4574.0,1
1007,59684,Oil Palm Seedlings (Hybrid Supergene | Tenera Varieties),5140.0,1
1006,28205,Broiler Battery Cages (3 Tiers | 200 Chicks | 100 Mature Birds Capacity),880.0,4
1005,33861,Livestock Teeth Clipper (Manual Teeth Nipper for Piglets),880.0,1
1004,58477,Electric Debeaker for Poultry,880.0,3
1003,31345,Metal Seed Planter (Precision Type),880.0,3
1002,60366,California Hybrid Dwarf Pawpaw (ipb9 Variety | 250 Seeds/Pack),5140.0,3
1001,31546,A Simple Guide to Raising Local/Indigenous Chickens for Household and Commercial Purposes,2630.0,1
1000,23501,Keproceryl Antibiotic and Multivitamin (100g),2703.0,2
999,24435,KENFLOX 20% ORAL For Livestock (1 litre),2703.0,2
998,64561,Piperazine (Dewormer),2703.0,1
997,31952,Water-Resistant Egg Crates/Trays (Ekopak Brand | 30 Egg Dimples | Bundle of 100 Pieces),880.0,3
996,73085,,,1
995,74079,,,1
994,65568,Hybrid Sweetcorn Seeds (Pacific Seed Brand | Hi-Brix 3 | Hi-Brix 59),5134.0,1
993,70780,,,2
992,70455,,,2
991,65558,Dragon | Herbicide | 1L (Paraquat),2856.0,1
990,63460,Elghali F1 Watermelon Seeds (Syngenta Brand | 1000 Seeds),5134.0,3
989,18375,2-in-1 Rechargeable Hand/Battery Powered Knapsack Sprayer (16L),880.0,3
988,33317,,,1
987,60295,Commercial Hyla Rabbits (Broiler Rabbit Breed | 3 Females + 2 Males),4582.0,1
986,74099,,,3
985,74305,,,1
984,74057,,,2
983,62098,King Humus Plus (Organic Soil Conditioner and Growth Stimulant | 100g Sachets),5134.0,1
982,70735,,,2
981,74147,,,1
980,24295,BIO-MIX Broiler Starter Premix,2703.0,2
979,31543,Poultry Drip Cup Plus Nipple (100 Pieces),880.0,1
978,64824,Furadan | 1kg,2703.0,1
977,74343,,,1
976,74178,,,1
975,70328,,,1
974,62088,Haifa Bonus Foliar Fertilizer (NPK 15:8:33 | 1kg Sachet),5129.0,1
973,74375,,,2
972,65793,Padma F1 Tomato Seeds (East West Seed Brand | 5g),5134.0,2
971,64220,Single Superphosphate Fertilizer (TAK Brand | SAP| 20% | 50kg),5134.0,3
970,74671,,,1
969,74074,,,1
968,73648,,,2
967,71721,,,1
966,71851,,,1
965,31154,500 Eggs Capacity Incubator (Fully Automated | Portable | Electric Powered-500W),880.0,1
964,68844,Pig Nipple Drinker For Pigs (Pack of 5),2826.0,1
963,56813,Oil Palm Seedlings (Supergene | Tenera Varieties),5140.0,3
962,70287,,,5
961,74350,,,9
960,70572,,,2
959,73166,,,1
958,47660,Gel fertilizer With Urea (Herogra Brand),4793.0,2
957,58678,Turkey Starter Feed (Mash For Poults | 25kg Bags),2701.0,2
956,58682,Turkey Grower Feed (Mash | 25kg Bags),2701.0,2
955,72637,,,1
954,29194,Quality Brooder Guard for Chicks (Plastic Board Model),973.0,3
953,65824,Gorontula Syrup | 100 ML,5520.0,1
952,68538,Gumboro Vaccine (Small Dose Vial | 100 | 200) + Transport Flask,2703.0,1
951,33562,Organic Poultry Production Manual (Birds and Eggs Production) - 57 Pages,2630.0,1
950,74901,,,2
949,68558,Gumboro Vaccines (1000 | 2000 Dose Vials | Izovac/Biovac/ABIC Brands) + Transport Flask,2703.0,2
948,68496,LaSota Vaccines (1000 | 2000 Dose Vials | ABIC/Izovac/Biovac Brands) + Transport Flask,2703.0,2
947,33347,,,1
946,74936,,,3
945,75001,,,1
944,73178,,,2
943,58018,Chickens Parts (Lap | Chest | Wing | Fillet | Gizzard) - 10kg Per Pack,5521.0,1
942,74260,,,3
941,28212,Yosher-Dan Pure Cocoa Butter - 1Kg,2683.0,1
940,59938,AGRITED Day-Old Pullets (Novogen Brown Pullets),2848.0,5
939,65584,Coco Peat (Washed and Buffered | 5Kg Blocks),5134.0,1
938,21223,20% Enrofloxacin Antibiotic - 1 LITRE,2840.0,1
937,17739,Teledart Blowpipe Darting Syringe,2768.0,2
936,53609,Drip Hanger For Poultry Processing (200-250 Birds Capacity | 6x5x3ft),880.0,1
935,75266,,,2
934,20372,Fowl Pox Vaccine [with diluent] 1000 Doses,2768.0,2
933,75259,,,2
932,58689,Turkey Finisher Feed (Mash | 25kg Bags),2701.0,1
931,71013,,,2
930,73876,,,3
929,75275,,,1
928,59602,Manure Dryer (Electric Powered | 1 Ton | 2 Tons Capacity),880.0,1
927,75284,,,1
926,75339,,,1
925,75230,,,3
924,74329,,,1
923,18372,WeiHeng Portable Electronic Hanging Scale - 0 to 50kg,880.0,1
922,70473,,,1
921,72582,,,1
920,72257,,,1
919,74033,,,3
918,75645,,,1
917,75447,,,1
916,74734,,,1
915,73673,,,1
914,75468,,,2
913,74615,,,1
912,70571,,,1
911,31000,High Quality Knapsack Sprayer (Coljet Brand) - 16 Litres,880.0,2
910,66779,,,1
909,62608,Watering Can (Plastic | 14 Liters Capacity),880.0,2
908,57930,Promin (Probiotics | Growth Promoter | 1L),3088.0,3
907,23727,Vitamino Trace Oral (1 Litre),2703.0,3
906,73931,,,2
905,57180,Ultima Finisher Mash for Broilers (Olam) 25kg Bag,2701.0,1
904,57182,Ultima Super Starter Mash for Broilers - 25kg Bag,2701.0,1
903,57181,Ultima Starter Mash for Broilers (Olam) 25kg Bag,2701.0,1
902,75177,,,3
901,74334,,,1
900,56425,,,1
899,56988,Rice Destoner Machine (Paddy Rice | 1t/hr | Locally Fabricated Model),880.0,1
898,75206,,,2
897,74245,,,2
896,65794,,,1
895,20449,ND+IB+EDS (3 in 1 EDS) 1000 Doses + Vaccine Carrier,2852.0,1
894,75462,,,1
893,73204,,,1
892,73172,,,1
891,21952,Morigad Lysol - 4L,2703.0,1
890,71460,,,1
889,23452,,,1
888,76037,,,1
887,72536,,,1
886,39971,Hybrid Oil Palm Seedlings (Super Gene | Tenera Varieties),4839.0,1
885,23898,Ear Tag for Large Livestock (Pack of 100),7203.0,1
884,20421,High-Quality Ear Tag Applicator For Livestock,880.0,2
883,73052,,,1
882,66401,Irrigation Rain Gun (30m | 40m | 50m Spray Radius),880.0,2
881,75289,,,1
880,68400,Layer Rearer Concentrate | Hendrix Brand,2701.0,1
